unix,date,open,high,low,close,volume,sma20,sma50
1641103200000,2022-01-02 06:00:00+00:00,47081.28,47159.99,47011.24,47035.39,137.59054,47240.558000000005,47379.546
1641104100000,2022-01-02 06:15:00+00:00,47035.38,47200.0,47028.21,47106.8,112.5642,47223.1365,47366.5924
1641105000000,2022-01-02 06:30:00+00:00,47106.8,47236.66,47059.02,47184.84,209.5039,47212.9465,47355.446
1641105900000,2022-01-02 06:45:00+00:00,47184.84,47244.0,47113.22,47122.61,68.54333,47200.1785,47345.1496
1641106800000,2022-01-02 07:00:00+00:00,47122.6,47182.58,47087.62,47135.88,133.33295,47185.1335,47338.491
1641107700000,2022-01-02 07:15:00+00:00,47135.88,47211.55,47133.0,47181.44,74.7017,47177.901,47330.908800000005
1641108600000,2022-01-02 07:30:00+00:00,47181.45,47300.0,47162.4,47178.61,192.91864,47168.311,47324.309
1641109500000,2022-01-02 07:45:00+00:00,47174.19,47196.61,47090.18,47173.45,143.42104,47158.4585,47320.001
1641110400000,2022-01-02 08:00:00+00:00,47173.44,47178.95,46970.05,47060.74,173.36588,47146.7055,47314.789
1641111300000,2022-01-02 08:15:00+00:00,47060.74,47227.28,47048.98,47161.77,132.80846,47135.6585,47311.4288
1641112200000,2022-01-02 08:30:00+00:00,47161.76,47192.31,47054.02,47161.01,135.76562,47123.4,47308.2062
1641113100000,2022-01-02 08:45:00+00:00,47161.01,47247.12,47141.77,47222.4,136.34607,47118.0465,47304.407
1641114000000,2022-01-02 09:00:00+00:00,47222.4,47236.89,47144.12,47215.05,124.6597,47109.7175,47300.8322
1641114900000,2022-01-02 09:15:00+00:00,47215.05,47499.45,47177.94,47338.85,364.93981,47111.367,47299.772800000006
1641115800000,2022-01-02 09:30:00+00:00,47338.85,47391.32,47324.13,47380.0,194.74197,47122.3935,47297.181800000006
1641116700000,2022-01-02 09:45:00+00:00,47380.01,47381.54,47250.11,47273.24,108.1022,47140.5405,47295.3198
1641117600000,2022-01-02 10:00:00+00:00,47273.23,47348.34,47251.57,47348.33,89.38218,47163.8325,47293.3748
1641118500000,2022-01-02 10:15:00+00:00,47348.34,47348.34,47251.01,47272.23,83.14342,47180.1805,47292.426
1641119400000,2022-01-02 10:30:00+00:00,47272.23,47322.07,47216.33,47265.0,89.74125,47194.946,47292.4722
1641120300000,2022-01-02 10:45:00+00:00,47265.0,47275.03,47140.3,47188.89,127.82216,47200.3265,47288.4846
1641121200000,2022-01-02 11:00:00+00:00,47188.88,47283.01,47159.57,47272.11,98.53149,47212.1625,47284.961
1641122100000,2022-01-02 11:15:00+00:00,47272.11,47333.33,47252.62,47310.0,82.65229,47222.3225,47282.3462
1641123000000,2022-01-02 11:30:00+00:00,47309.99,47400.0,47258.02,47261.36,101.30307,47226.1485,47280.88659999999
1641123900000,2022-01-02 11:45:00+00:00,47261.36,47263.47,47195.0,47235.5,76.54308,47231.793,47277.02
1641124800000,2022-01-02 12:00:00+00:00,47238.89,47253.19,47013.5,47108.37,267.15818,47230.4175,47269.224
1641125700000,2022-01-02 12:15:00+00:00,47108.38,47193.02,47080.02,47156.25,134.16166,47229.158,47257.89599999999
1641126600000,2022-01-02 12:30:00+00:00,47156.24,47447.0,47137.85,47310.45,244.59474,47235.75,47253.7526
1641127500000,2022-01-02 12:45:00+00:00,47310.45,47374.28,47274.72,47292.95,152.14315,47241.725,47248.7176
1641128400000,2022-01-02 13:00:00+00:00,47289.67,47300.86,47130.0,47130.61,131.3353,47245.2185,47238.5508
